"date","close","volume","open","high","low"
"16:00","49.46","5,095,545","49.30","50.02","49.25"
"2019/08/21","49.4600","5202747.0000","49.2900","50.0200","49.2500"
"2019/08/20","48.8400","5309263.0000","47.7900","49.0050","47.7200"
"2019/08/19","47.8400","4828983.0000","47.8300","48.3900","47.5400"
"2019/08/16","47.2300","3702039.0000","46.1000","47.3100","46.0500"
"2019/08/15","45.7200","4328969.0000","46.0000","46.6100","45.2800"
"2019/08/14","45.8500","5462061.0000","46.3700","47.0000","45.3000"
"2019/08/13","47.6500","5115378.0000","46.2100","47.7100","46.2000"
"2019/08/12","46.4600","4278647.0000","47.0300","47.2950","46.2100"
"2019/08/09","47.5600","5964793.0000","48.1400","48.3100","47.4100"
"2019/08/08","48.2300","8205759.0000","47.4400","48.2800","46.7700"
"2019/08/07","46.5000","7127158.0000","44.9000","46.6500","44.8400"
"2019/08/06","45.8100","5365111.0000","44.9500","46.0000","44.9250"
"2019/08/05","44.5300","12402150.0000","45.5100","45.9000","43.4700"
"2019/08/02","46.6200","8956266.0000","46.4700","46.7200","45.0400"
"2019/08/01","46.8200","10228230.0000","48.0000","48.0000","46.4600"
"2019/07/31","47.9800","6319866.0000","49.1700","49.3871","47.2364"
"2019/07/30","49.0700","4682438.0000","48.1400","49.1050","48.0500"
"2019/07/29","48.6500","5296637.0000","49.2900","49.2900","48.2600"
"2019/07/26","49.2600","4343634.0000","49.0400","49.5500","48.9600"
"2019/07/25","49.7200","7357902.0000","49.3400","49.8100","48.7200"
"2019/07/24","49.2400","7144624.0000","48.4200","49.4500","48.3500"
"2019/07/23","48.6000","6222653.0000","47.8700","48.7250","47.4350"
"2019/07/22","47.8400","10000240.0000","45.9500","48.0569","45.8600"
"2019/07/19","45.6300","4065856.0000","45.8800","46.3700","45.6100"
"2019/07/18","45.6500","10299800.0000","45.8200","47.3700","45.0700"
"2019/07/17","45.2800","6743768.0000","45.9000","46.0000","45.0629"
"2019/07/16","45.8300","4196185.0000","45.7100","46.3900","45.6800"
"2019/07/15","45.6600","7606936.0000","46.0100","46.1350","45.4500"
"2019/07/12","46.0200","5258635.0000","46.1000","46.4100","45.6200"
"2019/07/11","46.0700","4231639.0000","46.6000","46.6300","45.8500"
"2019/07/10","46.3800","4646308.0000","46.6400","46.6400","45.7400"
"2019/07/09","46.4700","6651619.0000","45.6600","46.5800","45.4200"
"2019/07/08","46.2600","8536009.0000","46.1900","46.7850","45.8300"
"2019/07/05","47.2100","4159748.0000","47.5300","47.5500","46.7120"
"2019/07/03","47.4800","5540252.0000","47.5000","47.9325","47.1750"
"2019/07/02","47.3400","16582350.0000","46.8700","47.3400","45.1400"
"2019/07/01","46.5800","56734260.0000","45.8100","46.5800","45.3200"
"2019/06/28","44.4200","6671569.0000","44.5700","45.1400","44.3700"
"2019/06/27","44.3100","3679408.0000","44.0000","44.9450","43.9700"
"2019/06/26","44.1800","5712010.0000","44.1900","44.4742","43.7600"
"2019/06/25","44.1900","3757014.0000","44.2500","44.8620","44.0600"
