"date","close","volume","open","high","low"
"16:00","827.51","248,167","820.86","828.795","820.2722"
"2019/08/21","827.5100","252069.0000","822.3500","828.7950","820.2722"
"2019/08/20","820.1400","201627.0000","823.0000","823.6300","816.8900"
"2019/08/19","820.3100","318147.0000","824.4400","825.0000","813.0150"
"2019/08/16","817.2000","331099.0000","813.1000","818.6500","805.3528"
"2019/08/15","809.8900","466469.0000","800.0000","811.2800","797.0000"
"2019/08/14","796.5700","438711.0000","807.8100","811.8900","794.3300"
"2019/08/13","816.9600","358076.0000","807.8000","821.2800","806.8100"
"2019/08/12","812.8200","351230.0000","817.7100","822.2695","806.3200"
"2019/08/09","817.9000","472846.0000","812.8200","822.8800","806.0000"
"2019/08/08","814.0500","578588.0000","799.9700","814.0500","799.7100"
"2019/08/07","795.0500","328350.0000","783.7500","796.4000","780.1058"
"2019/08/06","790.6100","482871.0000","785.9200","793.9500","775.0000"
"2019/08/05","780.2100","558320.0000","784.2400","786.1000","770.5300"
"2019/08/02","792.2100","402447.0000","790.5500","801.1200","777.5000"
"2019/08/01","790.4300","511131.0000","794.7300","802.6300","784.8400"
"2019/07/31","795.5300","534938.0000","804.8500","805.0000","786.6500"
"2019/07/30","805.2500","446378.0000","803.2000","807.9400","801.5100"
"2019/07/29","809.0300","971839.0000","791.0600","811.9500","785.0100"
"2019/07/26","779.8600","521698.0000","782.8500","785.5000","775.6300"
"2019/07/25","777.5300","587396.0000","778.7700","781.8600","770.0000"
"2019/07/24","777.9600","1573132.0000","760.5000","789.5000","753.7693"
"2019/07/23","739.6000","931260.0000","746.0000","747.1800","728.0600"
"2019/07/22","742.5100","452243.0000","746.5100","752.0900","738.0300"
"2019/07/19","746.5200","540172.0000","764.1000","765.3600","743.5300"
"2019/07/18","764.0400","484216.0000","753.2400","765.9900","750.8400"
"2019/07/17","752.5600","292234.0000","760.3700","762.0500","751.6850"
"2019/07/16","761.8500","405907.0000","758.7000","765.0450","757.7600"
"2019/07/15","759.8700","464136.0000","754.0000","760.5900","747.0100"
"2019/07/12","750.8500","576766.0000","744.1000","753.4750","741.5000"
"2019/07/11","740.0600","240040.0000","744.5000","746.4366","736.3114"
"2019/07/10","743.0100","297290.0000","745.5100","751.9800","737.4600"
"2019/07/09","745.4900","315616.0000","748.8100","754.5429","742.1602"
"2019/07/08","748.8000","534080.0000","737.6300","752.7927","735.7569"
"2019/07/05","739.5400","328650.0000","729.9500","739.8100","728.3300"
"2019/07/03","730.9800","227764.0000","722.0300","734.2500","721.3700"
"2019/07/02","723.0800","303875.0000","726.1500","729.6700","717.2400"
"2019/07/01","725.3900","392250.0000","738.4300","740.5300","723.5500"
"2019/06/28","732.8800","487329.0000","723.1700","732.8800","720.5700"
"2019/06/27","724.1200","409302.0000","730.3000","730.3000","720.7000"
