"date","close","volume","open","high","low"
"16:00","203.72","2,312,447","204.65","205.14","201.28"
"2019/08/21","203.7200","2360343.0000","204.2700","205.1400","201.2800"
"2019/08/20","202.2000","3406868.0000","199.3900","206.0000","198.6100"
"2019/08/19","201.6500","5316346.0000","195.2000","202.8400","191.3100"
"2019/08/16","179.2200","2451523.0000","176.5800","181.1150","175.9878"
"2019/08/15","175.4300","2162036.0000","176.2600","178.0400","174.6850"
"2019/08/14","175.1200","2164093.0000","176.3600","177.5100","174.6500"
"2019/08/13","180.7900","1734017.0000","176.6300","183.5100","175.3000"
"2019/08/12","177.7200","1801333.0000","181.0000","181.0000","175.0300"
"2019/08/09","183.6100","1187196.0000","186.3500","187.3550","181.9400"
"2019/08/08","186.4300","1310630.0000","183.2300","187.4478","182.7400"
"2019/08/07","182.5900","1851999.0000","178.2100","183.0900","176.9600"
"2019/08/06","179.5600","2354718.0000","175.9900","180.1500","175.8100"
"2019/08/05","174.5600","1983848.0000","179.8600","179.8600","173.2200"
"2019/08/02","182.2000","1233071.0000","182.0000","184.2900","181.1300"
"2019/08/01","182.7600","1740825.0000","184.4900","187.1400","182.4500"
"2019/07/31","184.1900","1925695.0000","188.5200","188.7400","182.1000"
"2019/07/30","188.9800","1488410.0000","192.6700","194.7374","188.4300"
"2019/07/29","192.0600","918456.0000","191.2700","192.4200","190.1000"
"2019/07/26","190.8700","686071.0000","190.1900","190.9300","188.3700"
"2019/07/25","189.5400","785465.0000","188.3700","189.8364","187.4600"
"2019/07/24","189.4500","1196619.0000","189.0100","189.6700","188.0600"
"2019/07/23","189.4800","723450.0000","189.4000","189.8300","188.0000"
"2019/07/22","188.6400","949785.0000","191.2500","191.7800","188.3100"
"2019/07/19","190.8300","1241040.0000","192.5700","192.9700","190.3150"
"2019/07/18","190.2400","764836.0000","189.5600","190.8400","188.7900"
"2019/07/17","189.7300","1013189.0000","188.9200","191.1400","188.8250"
"2019/07/16","189.1100","1269938.0000","188.0900","189.8391","187.2000"
"2019/07/15","187.2900","938990.0000","187.4000","188.8500","186.8000"
"2019/07/12","186.8100","875463.0000","186.2200","188.5900","185.8200"
"2019/07/11","186.0800","1283118.0000","184.5200","187.0524","183.7600"
"2019/07/10","184.2900","923062.0000","184.3700","185.7850","183.6050"
"2019/07/09","183.9000","938775.0000","184.5700","184.6900","183.3200"
"2019/07/08","185.2500","671001.0000","184.8800","185.6264","184.5600"
"2019/07/05","185.3500","819728.0000","185.9000","185.9900","183.2700"
