"date","close","volume","open","high","low"
"16:00","389.23","349,822","376.83","389.51","374.77"
"2019/08/21","389.2300","350041.0000","376.8300","389.5100","374.7700"
"2019/08/20","375.3300","239631.0000","368.5100","376.5400","365.1200"
"2019/08/19","368.9100","170149.0000","368.2800","370.0500","362.0000"
"2019/08/16","366.2100","240646.0000","367.9800","368.8900","361.5847"
"2019/08/15","365.1200","174468.0000","357.9300","366.5000","357.7600"
"2019/08/14","356.6600","276634.0000","363.7900","368.6250","356.2600"
"2019/08/13","367.0200","264449.0000","363.2900","367.8400","360.4700"
"2019/08/12","363.2600","257443.0000","360.1800","368.2350","357.7400"
"2019/08/09","362.1500","142833.0000","352.8500","363.4000","352.5500"
"2019/08/08","352.3600","340787.0000","349.5300","352.5200","344.3490"
"2019/08/07","348.9200","233333.0000","341.4500","351.9150","338.2950"
"2019/08/06","344.8400","307874.0000","343.5000","346.7700","341.8100"
"2019/08/05","341.4700","387783.0000","337.8400","348.0000","333.8700"
"2019/08/02","340.6300","436709.0000","341.0000","343.1550","338.4600"
"2019/08/01","340.3000","318830.0000","339.3000","342.6500","335.9450"
"2019/07/31","337.0400","210690.0000","336.0000","343.5150","336.0000"
"2019/07/30","336.0500","261628.0000","335.9500","340.7200","334.3800"
"2019/07/29","336.9000","453512.0000","346.7200","346.7200","336.6250"
"2019/07/26","347.9400","483808.0000","345.9300","348.6600","344.0150"
"2019/07/25","344.0000","575711.0000","334.3800","345.1600","333.0500"
"2019/07/24","334.2500","1103325.0000","354.8100","356.8800","331.0000"
"2019/07/23","367.8100","301662.0000","372.9500","372.9500","365.4747"
"2019/07/22","370.4800","259037.0000","368.7700","372.4300","366.5001"
"2019/07/19","367.0300","248592.0000","373.9800","373.9800","366.3500"
"2019/07/18","372.8000","264794.0000","368.3200","373.3800","366.4400"
"2019/07/17","368.0300","254253.0000","364.0500","368.9500","362.2800"
"2019/07/16","363.1100","308016.0000","361.5900","364.3155","360.6500"
"2019/07/15","360.7900","276023.0000","359.9400","361.7800","356.8900"
"2019/07/12","358.2800","249489.0000","356.0500","359.3200","354.0800"
"2019/07/11","354.5300","295523.0000","349.3200","356.2800","348.7700"
"2019/07/10","349.4000","364415.0000","343.9500","352.0700","343.9500"
"2019/07/09","342.9000","323723.0000","340.9100","344.2150","336.5900"
"2019/07/08","341.5000","330214.0000","341.9700","344.6100","338.3500"
"2019/07/05","341.9000","222573.0000","339.2700","344.2500","335.0200"
"2019/07/03","338.5000","271500.0000","332.8800","339.8500","331.1800"
"2019/07/02","330.8900","354989.0000","323.5100","332.0300","320.4150"
"2019/07/01","322.5800","490615.0000","322.3700","324.8649","318.0300"
"2019/06/28","321.4200","7603180.0000","318.2700","324.3250","315.4400"
"2019/06/27","316.3400","492118.0000","312.7000","320.7600","311.4300"
"2019/06/26","312.6700","537277.0000","320.4200","322.1200","312.5200"
"2019/06/25","319.0400","702072.0000","325.4300","329.0000","317.4100"
"2019/06/24","333.0200","240922.0000","332.4400","335.5600","331.4800"
"2019/06/21","333.0800","319619.0000","330.1500","337.4000","329.4300"
"2019/06/20","331.3600","388989.0000","333.2300","336.9800","328.1700"
"2019/06/19","331.3900","433298.0000","319.2900","331.7200","318.2850"
"2019/06/18","318.5500","329604.0000","320.2500","322.4700","317.9300"
"2019/06/17","318.5000","200094.0000","320.3900","323.0600","318.1000"
"2019/06/14","320.0500","313653.0000","317.7900","322.8900","316.6800"
"2019/06/13","317.6700","523633.0000","326.6400","326.6400","314.6450"
"2019/06/12","325.2800","641804.0000","327.2800","332.0000","322.1300"
"2019/06/11","333.9900","371775.0000","341.2100","342.9800","330.9100"
"2019/06/10","339.9000","420195.0000","333.2100","341.3699","333.2100"
"2019/06/07","334.6100","631497.0000","327.1500","341.5900","327.1500"
"2019/06/06","326.8600","447787.0000","316.8000","327.4000","314.8000"
"2019/06/05","316.8000","480595.0000","300.5200","316.9650","296.1400"
"2019/06/04","299.1200","345000.0000","296.9100","299.4600","294.0000"
"2019/06/03","294.2200","425546.0000","297.6400","298.5900","291.5200"
"2019/05/31","297.8200","530687.0000","282.9700","298.4752","282.9700"
"2019/05/30","283.9600","213064.0000","282.1700","288.8700","280.9250"
"2019/05/29","281.3200","355340.0000","280.0000","282.2800","279.0100"
"2019/05/28","281.0700","2146322.0000","288.3200","291.2200","280.3750"
"2019/05/24","288.3200","375976.0000","292.2900","294.9300","287.8000"
"2019/05/23","291.6200","319440.0000","290.5100","294.2400","288.5000"
"2019/05/22","292.4900","295299.0000","292.6200","294.8900","290.5300"
"2019/05/21","292.0400","341537.0000","293.8900","299.0000","290.2700"
"2019/05/20","293.5900","242896.0000","290.5700","294.5350","290.5700"
"2019/05/17","292.1700","470181.0000","287.9100","293.0800","287.3100"
"2019/05/16","289.4300","267727.0000","288.4900","290.7248","287.9400"
"2019/05/15","287.0000","309433.0000","286.1000","290.7900","285.3900"
"2019/05/14","287.3900","437272.0000","282.1900","289.5300","282.1900"
"2019/05/13","281.6500","271510.0000","277.1900","281.9800","275.9200"
"2019/05/10","280.9500","275219.0000","277.0800","281.8400","275.7700"
"2019/05/09","278.0000","283439.0000","278.6400","280.3600","275.1200"
"2019/05/08","280.8200","253150.0000","279.9700","282.7050","278.8200"
"2019/05/07","279.8700","375623.0000","288.6100","291.8100","279.7700"
"2019/05/06","290.4400","403566.0000","282.9200","293.9100","282.9200"
"2019/05/03","286.0500","249952.0000","283.8200","288.4550","283.1900"
"2019/05/02","282.9100","265047.0000","282.4100","284.4850","280.3400"
"2019/05/01","282.0400","279918.0000","279.2500","283.7150","277.5900"
"2019/04/30","278.3300","248539.0000","276.7200","279.9050","274.5600"
"2019/04/29","276.3000","351579.0000","272.4400","278.0900","270.9900"
"2019/04/26","269.6800","279399.0000","263.6900","270.7650","263.6900"
"2019/04/25","265.4600","211394.0000","263.0100","266.8350","260.8150"
"2019/04/24","264.3800","403026.0000","263.3500","266.9000","256.6100"
"2019/04/23","262.5000","562594.0000","262.9600","263.5250","260.6350"
"2019/04/22","262.1300","339372.0000","263.6200","264.3900","261.5000"
"2019/04/18","263.9200","468073.0000","261.9200","264.3300","261.5100"
"2019/04/17","262.2300","283667.0000","263.9100","264.9100","261.2400"
"2019/04/16","262.9200","625854.0000","262.4300","264.6500","260.8500"
"2019/04/15","261.7400","315922.0000","260.3300","262.1750","259.7900"
"2019/04/12","259.8500","209379.0000","258.2500","260.1950","257.5000"
"2019/04/11","257.2200","276752.0000","259.3800","260.1850","256.6800"
"2019/04/10","258.4600","213442.0000","259.8200","259.9600","257.7950"
"2019/04/09","258.9900","191546.0000","257.1300","260.5700","256.9200"
"2019/04/08","258.1400","220575.0000","253.8900","258.4100","251.6900"
"2019/04/05","253.8900","192307.0000","248.4100","254.1200","248.2800"
"2019/04/04","248.4100","303194.0000","247.1700","248.9500","241.1200"
"2019/04/03","246.6800","245964.0000","250.1600","255.5500","245.3800"
"2019/04/02","248.6900","246742.0000","247.4800","249.5700","245.8200"
"2019/04/01","246.7200","196266.0000","248.1300","249.4500","244.5800"
"2019/03/29","246.0800","188460.0000","248.0000","248.3100","245.7100"
"2019/03/28","246.5200","167066.0000","245.5200","249.9400","244.2600"
"2019/03/27","245.0800","149156.0000","244.0100","246.1100","242.9000"
"2019/03/26","243.6800","189018.0000","240.7700","244.5100","239.1800"
"2019/03/25","239.1200","188748.0000","238.8000","239.9900","237.1100"
"2019/03/22","238.3400","180080.0000","238.9800","240.8950","237.1800"
"2019/03/21","240.1600","270258.0000","236.5700","241.3300","236.5050"
