"date","close","volume","open","high","low"
"16:00","389.83","2,395,026","381","391.45","377.50"
"2019/08/21","389.8300","2424814.0000","381.4300","391.4500","377.5000"
"2019/08/20","374.9700","2073856.0000","361.4600","376.3000","359.3200"
"2019/08/19","361.8300","1200717.0000","363.7400","365.9100","359.1100"
"2019/08/16","358.7400","1320625.0000","356.0900","361.0700","351.4578"
"2019/08/15","351.0700","1582220.0000","355.0000","359.5000","347.6800"
"2019/08/14","352.8000","2397704.0000","360.3700","366.9400","347.5500"
"2019/08/13","369.2300","1933410.0000","364.0000","370.7000","355.3300"
"2019/08/12","366.7300","1777567.0000","367.0000","372.3600","361.2500"
"2019/08/09","369.9500","2361361.0000","354.5000","371.6300","354.2500"
"2019/08/08","357.8100","1885171.0000","344.0100","358.5800","342.3400"
"2019/08/07","341.3100","1767876.0000","330.0800","342.8300","328.5300"
"2019/08/06","332.6700","1772631.0000","327.4100","333.3800","324.4000"
"2019/08/05","321.3900","2391317.0000","313.8700","327.5000","313.3900"
"2019/08/02","332.1900","1980590.0000","341.2300","341.2300","322.6700"
"2019/08/01","341.3900","4612775.0000","334.0100","350.7900","328.0100"
"2019/07/31","317.8800","1836337.0000","316.5100","320.9800","310.3600"
"2019/07/30","314.3000","1776142.0000","314.0000","322.3400","310.3600"
"2019/07/29","319.7100","2223358.0000","336.3500","337.0300","313.5310"
"2019/07/26","336.5400","1120167.0000","332.9400","338.9700","332.3200"
"2019/07/25","333.3400","1498399.0000","330.9100","338.7400","327.7455"
"2019/07/24","329.5700","1888944.0000","330.5100","331.8256","324.1100"
"2019/07/23","330.2200","1664091.0000","337.0000","338.9600","328.6000"
"2019/07/22","335.2400","1872241.0000","331.9200","340.8363","331.5100"
"2019/07/19","330.0000","1478876.0000","333.1500","339.0000","329.6800"
"2019/07/18","331.1500","1699809.0000","325.7500","333.2600","322.6100"
"2019/07/17","325.3200","3748236.0000","319.3200","336.9500","319.0328"
"2019/07/16","317.3900","1337230.0000","323.6600","324.8000","315.8700"
"2019/07/15","324.0200","1841285.0000","309.9400","324.2900","306.0172"
"2019/07/12","310.0200","2024795.0000","315.0000","315.7776","302.5700"
"2019/07/11","315.0000","1238336.0000","319.0000","319.7890","314.2400"
"2019/07/10","319.0100","1276041.0000","324.5300","326.9900","318.5100"
"2019/07/09","321.9800","1740720.0000","322.4100","324.4300","319.5000"
"2019/07/08","321.0000","2548736.0000","314.4400","329.8000","312.9600"
"2019/07/05","313.7200","1318317.0000","311.0100","313.9300","303.4100"
"2019/07/03","313.3300","966376.0000","310.8900","318.3400","310.2800"
"2019/07/02","311.9600","1298920.0000","305.3900","314.6600","305.0000"
"2019/07/01","304.6800","1347161.0000","308.6000","308.7700","300.3300"
"2019/06/28","300.1500","1500894.0000","303.3000","304.2900","292.3400"
"2019/06/27","300.9600","1814541.0000","290.5000","302.4400","289.5000"
"2019/06/26","289.0300","2333998.0000","289.0200","295.5200","281.6900"
"2019/06/25","284.0400","4958019.0000","306.9900","309.6300","281.7500"
